audio_id,transcription,detected_language
../data/audios\6771231129975491845,"...since Syria, Iraq, and Afghanistan, Trump is taking us out of Turkey, he's taking us out of Syria, he killed the leader of ISIS, he created 6 million plus jobs, he has grown the GDP plus 50 to 100 points per year, the stock market is hitting brand new records each week... I just love how naive you are about that. How naive I am? I am? How naive I am? The funny thing is the Democrats are grasping at it trying to...",en
../data/audios\6771276995037875462,You know your mama go whoop your ass and she see this video I FUCK DRUMP Hey listen so Imma pass you the mic And then I want you to state your name one more time And yell out fuck Donald Trump as loud as you can And at the end I want you to say hi mom FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP,en
../data/audios\6771562298327764230,"Why do you support the president? Because he's the man! I love that. Why is he the man? Because he protects all my rights. My first, my second, my third, my fourth, my fifth, all of them. Sounds like you've been a long time Trump supporter. I have not been. I did not vote for him 2016, but I didn't vote for Hillary Addams, so don't judge me. So what made you change your mind? He kept his words. And he kept it real. You know, when other politicians were saying other things and not keeping their rhetoric, he kept his word. And so, safe to say you'll be voting on him in 2020? Absolutely.",en
../data/audios\6771960739432385798,"Okay, what's this whole impeachment thing about? In summer 2019, Trump straight up asked Ukraine to interfere in our 2020 elections by digging up dirt on his political rival, Joe Biden. Biden's son Hunter worked with a Ukrainian oil and gas company called Burisma. Trump was hoping that if Ukrainian President Zelensky said they were investigating Hunter, it would make his dad look bad, even if it was based on nothing. Even worse, Trump also purposely withheld $400 million in taxpayer money from Ukraine as a bargaining chip to force them to do his personal favor. This matters because Ukraine is fighting Russia and needs that military aid. When someone in the administration blew the whistle on him, Trump immediately released the aid and tried to cover it up. Exploiting the unique privileges of your role as president is called abuse of power. Trump also tried to obstruct the inquiry by deterring key witnesses from testifying, burying documents, and harassing witnesses who did testify. On Twitter, of course. So, the House impeached Trump for abuse of power and obstruction of Congress, making him only the third president in U.S. history to be impeached. But that doesn't mean he'll be removed from office. That power rests with the Senate, where it would take at least 20 Republicans voting with Democrats to remove Trump from office. The House impeached Trump for abuse of power and obstruction of Congress, making him only the third president in U.S. history to be impeached.",en
../data/audios\6771972405695941893,"Hey guys, so you might have seen in the news today that Trump did get impeached And I want to do a very quick video just explaining what that means So first impeachment does not mean he's kicked out So I'm gonna try to keep things very very simple and explain what just happened and what's happening next So long story short there are two steps to get a president kicked out First step is the house votes to impeach second step is the Senate votes to kick him out So for the first step the house has 430 voting members and the numbers here matter only 216 votes are needed for impeachment and since the Democrats won in 2018 there are 232 Democrats in the house So it was a pretty easy win but now the second step is the Senate for Trump to be removed he needs 67 votes from the Senate against him and In 2018 the Republicans won the Senate so in the Senate there are 53 Republicans and 45 Democrats Remember they need 67 votes So to kick out Trump the Democrats have to convince 22 out of the 53 Republicans to remove him from office Historically speaking there were two other presidents that got impeached, but neither got kicked out. We'll see what happens",en
../data/audios\6772668269594676486,I can't talk. What do I do?,en
../data/audios\6774202034888494342,"Personally now the news person Okay, that's cool. How many people you know? Okay, how many people you know to how many people you know? How many people you know? How many people you know? None, I mean, you know one. I mean, you know",en
../data/audios\6774536897747307781,"My opinions are just as important as those who were born before me. I know I am young, but I know what I'm saying. I'm sick of your thoughts and I'm sick of your praying. Children are being slaughtered in numbers. Mothers and fathers losing sons and daughters. We blame the Muslims and the Jewish instead of the ones who actually do it. This song is an attack. It's a eulogy in the memory of those now living. A proclamation to the older generation that doesn't understand that the Second Amendment isn't protection. It's a death sentence, a defendant's a gun, and the convicted is innocent. It's ironic, isn't it? A country more loyal to a law made in 1791. An entire nation led by a hand that holds a gun. This isn't a war where weapons will get the job done unless we do something. Kids, it's time to learn to run.",en
../data/audios\6775900332447812869,Sophie looks like Melania Trump. What? What? Sophie? Sophie looks like Melania Trump.,en
../data/audios\6777844082757602566,"I didn't say anything. Oh God, I'm not gonna hit you. Oh God, I'm not gonna touch you. Oh God, I'm not gonna hit you. You're not gonna touch me. No. You're gonna go home. Oh God. On God. On God. Let go. Bitch, I don't believe in God, you stupid hoe.",en
../data/audios\6777863676742421765,"Our president will start a war with Iran because he has absolutely no ability to negotiate. He's weak and he's ineffective. So the only way he figures that he's going to get reelected and as sure as you're sitting there is to start a war with Iran. Now, I'm more militant and more militaristic than the president. I believe in strength. But to start a war in order to get elected, and I believe that's going to happen, would be an outrage.",en
../data/audios\6778591131790740742,"So let me get this straight, guys. We take out one of the leading terrorists in the world. The left has a whiny butt meltdown, and they send condolences to and side with the terrorists, and then all of a sudden now the Iranian government offers an $80 million bounty for the person that can bring them the head of President Donald Trump. Have you lost your ever-loving mind? Do you realize President Donald Trump, regardless of where you fall on the political spectrum, is going to win the next election by an unbelievable landslide? We could wipe Iran off the map without a sneeze before breakfast tomorrow morning, and they know that. We don't negotiate with terrorists, and if you side with the terrorists, you're an enemy to America.",en
../data/audios\6780046301083077894,"Alexa, is World War 3 going to happen? Probably not. Donald Trump will most likely pull out like his parents should have done 73 years ago.",en
../data/audios\6780432622469254406,"If you do that, I'm gonna do that. If you do that, I'm gonna do that. If you do this, I'm gonna do that. What if I just do it? You don't wanna do that.",en
../data/audios\6780787884136893701,"I wish there were some real men around here, you know? Oh, you read my mind, girlfriend. More time, so I stay. Dance for me, dance for me, dance for me. Oh, oh.",en
../data/audios\6784825179278232837,"Can a public school suspend you for wearing a pro-Trump t-shirt? No, in Oregon, the Hillsboro School District paid $25,000 to a student. It suspended for wearing a pro-Trump t-shirt after the federal courts found this to be a violation of the First Amendment.",en
../data/audios\6786020706023984390,"I am so tired of hearing white people this, white people that. No white person alive today owned a slave and no black person alive today was ever a slave. Stop being a victim, stop loving white people for your problems and just do better.",en
../data/audios\6786612982823603461,This big dog will fight when you rattle his cage And you'll be safe,en
../data/audios\6788153393752902918,Can a public school ban you from wearing clothing that supports gun ownership and Second Amendment rights? No. A Wisconsin federal judge recently barred a public school from being able to ban students from wearing clothing that supports gun ownership and Second Amendment rights because it would violate the First Amendment.,en
../data/audios\6790381442741374213,He's impeached forever. No matter what he says or whatever headlines he wants to carry around. You're impeached forever. You're never getting rid of that scar.,en
../data/audios\6790821411058502918,"So when you take food stamps away from poor people like myself, we hurt even more. And on top of that, two days ago we get a letter in the mail saying that my wife and my two children, including myself, no longer have insurance thanks to Trump's new policies. So we have to go through this very long and tedious procedure to try to get insurance again. Now mind you, I have a son who has a disability and they just canceled our insurance due to Trump's policies. So I don't understand how you guys think Trump's making America great again. Maybe it's for the middle class and the higher class because he's bringing more money to you, but the money that you're receiving is from us poor people. So how about for once you stop and don't think about money. Think about those that are out there suffering because like myself and all of those other poor people.",en
../data/audios\6791485582032768261,"So if you ever have a really good picture but annoying things like light switches are in the way, I use this app called Retouch. All you do is download it, use the little brush tool, and you can literally erase anything from any picture. I use this on so many of my photos. This is before and after. And I'm also going to show you this pretty sunset picture.",en
../data/audios\6791495074325794053,"You know, one of my favorite things that Republicans like to say is this. You know what we have in the United States that nobody in the world has? Freedom. Oh really? Well let's check that out. Here's a list of the 36 most free countries in the world. Hmm. I don't see the United States anywhere. Oh, oh, wait, wait, wait. There it is. 53rd. 53rd, ladies and gentlemen. But it doesn't stop there. Let me show you another thing. You'll love this. Let's direct our focus to the top 10 of this list, okay? Out of the 10 freest countries right here in the world, 1, 2, 3, 4, 5, 6, 7, 8, 8 are democratic socialist countries. But democratic socialism doesn't work.",en
../data/audios\6792348172476828934,"I'm here in Muscatine, Iowa, where Donald Trump is ready to speak at the high school gym. A very bold move for Trump, because his supporters usually avoid both education and physical fitness. Ladies babies. We are witnessing history here, folks. Specifically, Germany, 1934. We need change in the White House. We don't need some rich asshole telling us what to do. Wrong rally. We do need some rich asshole telling us what to do. You believe he's full-on conservative now? Yes. No gun control, none of that crap. Okay. Trust me, I'm from New York. Trump used to be a bigger Democratic supporter than Michael Moore's bra.",en
../data/audios\6793426109787573509,"Bro Bernie Sanders is nothing but a communist. He's trying to make this government communism. No, he's not Yes, he is. He's trying to get that free health care. That's what they do in communism. Whoa. Whoa. Whoa. Whoa. Hold up You're mixing communism and democratic socialism. There's a vast difference That's the same shit. No, it's not let me explain it to you first communism is a economic and a political Philosophy and in communism they control every aspect of everyday life needs such as housing clothing food etc where democratic socialism is an economic philosophy only and democratic socialism advocates the redistribution of wealth and power to meet public needs and not make Profits for only the top few also democratic socialism aims to weaken the power of corporations and increase the power of working people",en
../data/audios\6793721509094427910,Wait till you see the f- OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF OOF,en
../data/audios\6793766811679739142,"Why don't people put American citizens first, but illegal immigrants get everything? And I hope you post this. I want this to go viral because I give a damn and I care about my community. My dad is a retired Navy captain. He served our country honorably. My grandfather is retired Navy captain and I'm doing my part to help our country because I give a damn and I'm going to fight for it. And I am 100% voting for Donald Trump on Tuesday, November 3rd, 2020. The Democrat party does not put our people first. They put sanctuary cities first. They put illegal aliens first. They tax us. They tax our water. You can't even do laundry and shower on the same day. While Nancy Pelosi is getting hundreds of thousands of dollars, robbing our pockets, not doing anything for our people, not passing legislation, passing out pens like they're candy. Meanwhile, President Trump is signing United States-Mexico-Canada agreement and he's signing trade deals and he's cutting our taxes and he's securing the border and he's putting our veterans first.",en
../data/audios\6795278985115766022,"I am so tired of that Bernie Sanders trying to give us free universal healthcare. How are we even supposed to pay for that? I don't want to be another 32 trillion dollars in debt. Plus, I'm not going to be paying for anybody's medical bills. Wait, wait, wait, wait. What? What? What did you just say? I said I'm not paying for anybody's medical bills. Go out there and get a job and pay it yourself. I gotta sit down for this. You do know that you already paid for somebody else's medical bills, right? Sure, you might be, but I'm not. Dumbass, we all are. When a person goes to the emergency room without insurance, what do you think happens to those bills? The person that went to the emergency room pays for those bills. Yeah, well, most people can't afford those bills. That means it goes to collections and their credit gets hit. And after some time, they drop off. And then your tax is paid off. And then your taxes pay for it.",en
../data/audios\6797401448968703233,बुलाती हैं मगर जाने का नहीं मेरे बेटे किसी से इश्ख कर मगर हथ से गुदर जाने का नहीं,hi
../data/audios\6797540340195806470,And all you blue-haired freaks You got way too many mental disorders Okay? And you're overweight There's only one sexuality that is correct and that's straight,en
../data/audios\6797631615511137537,Swami Vive Kamananda,en
../data/audios\6797717883922156805,"How will you convince voters that a democratic socialist can do better than President Trump with the economy? Well, you're right. The economy is doing really great for people like Mr. Bloomberg and other billionaires. In the last three years, last three years, billionaires in this country saw an $850 billion increase in their wealth. But you know what? For the ordinary American, things are not so good. Last year, real wage increases for the average worker were less than 1%. Half of our people are living paycheck to paycheck. 87 million Americans have no health insurance or are underinsured. 45 million people are struggling with student debt. 500,000 people tonight are sleeping out on the street, including 30,000 veterans. That is not an economy that's working for the American people. That's an economy working for the 1%. We're going to create an economy for all, not just wealthy campaign contributors.",en
../data/audios\6797811515782188293,It never says anything. Let's see. Keep going to the back. There we go.,en
../data/audios\6797938891652369669,"Biggest downgrades in human history? Part 4. And number 3, we got the magic school bus. Let's just say, it crashed! Number 2, Roderick turned into Lord Farquaad. And number 1, Barack Obama to Donald Trump.",en
../data/audios\6798329681771826437,"Daddy, where's that machine? Do we? It's getting rid of the moss, honey. Where's it taking them? Hell. Don't say that, Higgins. Oh, I'm sorry. Not hell. Mexico.",en
../data/audios\6798847593448344833,प्लेन जब हाथसान नदी के मिडल में क्राश किया तब इसकी रवतार लगभाग 230 किलोमेटर प्रति घंटे से भी ज्यादा थी। ये कितना खुफनाख है ये आप सोचकर ही अंदाजा लगा सकते हैं। ये मंदर और भी ज्यादा खुफनाख हो सकता था। लेकिन खुश्किस्मती के कारण ये प्लेन जब magnets प्लेन प्लेन प्लेन के लगभाग रवतार लगभाग रहे हैं।,hi
../data/audios\6799067491281800454,I gave you one of the most red pods and two mangoes and you gave me that menthol and only three of them? If anything you double up on it you dumb fuck. I gave him a banana ice puff bar so shut up. You didn't give me fucking shit.,en
../data/audios\6799102477317737733,It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country. Because you'd be in jail. Secretary Clinton.,en
../data/audios\6799265120112381189,"So I took a lot of shit in my other video because I said that I support Trump while I was in uniform. Well now, I'm in this uniform. Trump 2020. Let's talk this fat bitch.",en
../data/audios\6799327443711741189,"You know if Trump is bad, then so is Obama, cause he did a lot of the same things that Trump's doing. Yeah. Yeah. Yeah! It's almost like that's the f-",en
../data/audios\6800483420788116742,"You fucking moron. Who? Donald Trump. Oh yeah. Isn't he a moron? No, I love him to be honest. You do? Yeah, I voted for him. You love him? Yeah, I thought he was a better choice than Hillary. Are you for real? Yeah, no I voted for him. Do you know what he's doing now? Yeah. What? I support it. He's taking everyone's privacy. Wait, what did you say?",en
../data/audios\6801473135003831557,"This is a neighbor on my block. Total Trump supporter, total MAGA. Check out her car. Driving around. Doesn't care. Love it. Love it.",en
../data/audios\6802003835943439622,"Thank you. Thank you. Now I know we all just saw that odd clip with Joe Biden. Very weird. And this isn't the first girl Joe Biden has done this to. There Joe Biden was, swearing in a Republican senator and he just smelled the daughter's hair. What is up with this fetish? Joe Biden has a smelling hair. He also did it to former secretary of the state, Ash Carter's wife. Much it means to me to have you wear me in today. And I thank her trust and confidence. Got a lot of thanks. First rubbing on her shoulders, odd. And then just sniffed her hair. This is very odd behavior. He's making these women very uncomfortable. I got one more person for you. Coming off the plane to greet Hillary Clinton. They go in for a long hug. Now she's patting him on his arm like, yeah, all right, get off me Joe. Subtly sniffs her hair when he leans in, odd again.",en
../data/audios\6802181792771214597,"This is all Donald Trump's fault. Donald Trump is affecting global warming. Global warming is affecting the price of olives. And the price of olives are affecting olive tree's prices. Therefore, if we eliminate Donald Trump, the olive tree will give free olives. I think I just fell in love.",en
../data/audios\6803815447868247301,"Do it, do it, do it, do it. I do not understand what you guys were thinking. That was not okay to do, and for this you are going to",en
../data/audios\6807045801831910661,"Space Force. You know, space exploration and just finding out what's out there, I guess. But NASA does space exploration. NASA is only going to tell us what they want us to know. Whereas I think Trump will send his own stuff and we will find out the truth. Who would lead Space Force? Neil Armstrong. Okay. I mean, he's dead. We'd have to bring him back to life. They have to have a military background. They have to have a military background. But the military has advised President Trump that we don't need a Space Force. Trump's his own man. He knows more. And he's going to tell us the truth. Let's not forget 9-11, okay? I think the Space Force could help prevent the next 9-11. Which would be 9-12. 9-12, 9-12. I think ISIS could get to space. Space ISIS? Space ISIS. Right. Space ISIS. But do we really need a Space Force? Doesn't make a lot of sense and we'd be wasting a lot of dollars, but at the same time, it's just going to be cool.",en
../data/audios\6807480687743061254,"What did you think when Hillary Clinton said, I see improved relations with Russia from a position of strength only as possible? I agree with Hillary. Hillary Clinton said, immigration is a privilege and we should not let anyone into this country who doesn't support our communities, all of our communities. Well, I'd virtually have to agree with that. Hillary said, in order to achieve the American dream, let people keep more money in their pockets and increase after-tax wages. Yes, okay. That's a great idea so that we can start to move everybody up and start moving people out of the level of poverty. And obviously runs fairly severe contrast to what Donald Trump is proposing? Absolutely. Many of her comments run severe contrast to Donald Trump. What do you think of this quote from Hillary? There's nothing I love more than women, but they're really a lot different than portrayed. They're far worse than men, far more aggressive, and boy, can they be smart. You know, I agree. I've worked for 38 years in the hospital with women.",en
../data/audios\6807596946061036805,"You'll notice I was not here over the weekend. I think this is the part that we really need to take personal responsibility for. Saturday, I had a little low-grade fever. Uh-oh.",en
../data/audios\6807774371759836422,"I don't support keeping kids in cages. Not so fast, Obama did that. Yeah, that's true, Obama did it, and it was wrong when he did it too. I don't like it when Trump does it either. But Obama- Yes, I already acknowledge that Obama did it, but that's not the end of the conversation. Just because Obama did it doesn't mean that Trump didn't do it and doesn't mean that it's not wrong when Trump does- Well, the reason you deflected to saying that Obama did it is because you acknowledge that it's wrong and there's no way out of it being wrong. So if it's wrong when Obama does it, it's wrong when Trump does it. I can admit that, can you admit that? You're fat and dead.",en
../data/audios\6808205297929194757,"He's not himself. Something is going on because he's struggling. Maybe I'll ask Rudy to say a few words. Well, thanks Rudy. He's literally sitting right in front of you. It is even hard to watch. The confusion. What we saw at pleasure, what an end right now. But what we just saw, we just left pleasure. It's hard to hear. For perilous. Frankly, it is even hard to watch. Gary Buss, President of the United States of America. The inability to finish thoughts. Decided to shield and shelter criminal... look, look, wait. The burst of outrage and anger. That's enough. That's enough. Mr. President, I didn't... That's enough. That's enough. Pardon me. Put down the mic. Mr. President. He has some verbal problems that are becoming a little bit more noticeable. ...by... ...identification. Easily identifiable cognitive decline. And that's how the First Lady got involved. She's...",en
../data/audios\6808724630455602438,BWAH! BWAH! BWAH! BWAH! BWAH!,en
../data/audios\6809784645324901637,δεν and you,en
../data/audios\6810040438511389958,"Earlier that a lot of people are uncomfortable looking at pictures of children that are being aborted. Yeah, I would say that you and many other would feel equally uncomfortable looking at pictures of Sandy Hook victims who were shot. How can you honestly stand up here and say that you support abortion, you support government intervention, excuse me, you support government intervention to make abortion illegal, which is designed to kill someone, and yet you can stand up here and say you don't want government intervention for guns, which are also designed to kill people? Because guns are not designed to kill children, guns are designed to kill bad guys if operated by a proper person. There's not an abortion in the world that doesn't end with the death of a baby.",en
../data/audios\6810087410592992517,This for you is an oof of colossal proportions When I make a video about racism standing against racism that has nothing to do with political parties policies or presidential candidates And you comment on that video Trump 2020 what you are saying is that when you think of racism you think of Donald Trump furthermore When you saw me standing against racism you automatically assume that was me standing against Donald Trump and of course took that as an opportunity to stand with him In your head Donald Trump and racism go hand-in-hand you are saying I'm not saying this you are saying That Donald Trump supports racism and you support him But I'm sure you're not a racist You can delete your comment But you can't delete the truth and accuracy behind your implications of correlation between racism and president Donald J Trump the president whom you so proudly support period,en
../data/audios\6810834928998124805,"The reason why so many girls dye their hair such wacky ass colors is because it's Republican boy repellent. You ever seen Johnny talking to Tina with the green hair? No, and you never fucking will.",en
../data/audios\6810854325556874501,Minimum wage should be a living wage. Raising the minimum wage would kill small businesses. Not to mention minimum wage jobs are for teenagers. They're not a career. Hey mom. Hi sweetie. How you doing? Oh I'm just studying before I go in. I put my check on the table. Have me something to eat before you leave? Yes ma'am. Stay safe okay? Wash your hands.,en
../data/audios\6810896835239087366,"So I've been seeing this conservative TikTok where this girl's like, me searching the Constitution for your abortion rights, and everyone's duetting it and being like, who cares? But also, I can explain to you right where it is. In Griswold v. Connecticut, the Supreme Court said that we have penumbras, these shadow rights that are implicit through the amendments to the Bill of Rights. Like the third that says that you don't have to quarter soldiers, and the fourth that says the government can't come into your house without a warrant. These are saying that you have privacy in the home, implicitly. That's the reasoning for the amendments. So Griswold said that married couples have a right to privacy in their home, and they can't be denied contraceptives. And then in Einstein v. Barth, they said that if you only allow that to married couples, not unmarried people, that's discriminatory under the 14th. Then came Roe v. Wade that said that your right to privacy is inherent in an individual, not in a married person. You have the right to privacy. Human rights are human rights whether or not they're in the Constitution, but these literally are. The Supreme Court interprets the Constitution. So...",en
../data/audios\6811202812408581382,"It's wild to me that the conservatives in the South only really seem to care about two issues, abortion and guns, which is interesting because the two issues are almost diametrically opposed, ideologically speaking. They tell us that we can't have gun control because that would be an overreach of government. Because states should decide things on a state by state basis. But they're fine with a strong, emboldened federal government when it comes to a bunch of old white men deciding how to police women's bodies, which is unethical and immoral and unjust. But even that aside, when we talk about being pro-life, why is it that a bunch of Republican teenagers care so much about fetuses, but not about real alive students who are being shot up in schools? About inner city communities, which are being affected by gun violence every single day because of systemic injustice and disenfranchisement? If you're gonna care about life, care about it at all stages. If you're gonna be wrong, at least be consistent, dammit. We deserve that much, don't you think?",en
../data/audios\6811209006904823046,"Hey, you wanna hear a fun fact? Did you know that Trump is the first president ever to simultaneously hold the record for the biggest stock market drop, the highest national debt, the most convicted team members, and the most pandemic infections in the world? And all of that in his first term. Make America great again, huh? Yeah, right.",en
../data/audios\6811827407188659461,"So firstly, we're going to remove the right side of your brain. And when you're ready, could you count to 10 for me? Two, four, six, eight, 10. And do you feel strange at all? Nothing odd. Fascinating. Next, we're going to remove the left side of your brain. And once again, when you're ready, could you count to 10 for me? One, three, five, seven, nine. And how do you feel this time? Oh my God, I can't even. Fascinating stuff. Finally, we're going to remove the entire brain. Now, can you count to 10 for me? Look, I can count to 10. I got numbers. I got the best numbers. People say that I can count, but I've done it many times, many, many times, too many times, some might think. We can count to 10. We've done it before. And we're going to do it many more times again.",en
../data/audios\6811978927536475397,"If Jesse Lingard scores tonight, I'm getting Jay Gorbs on me arse.",en
../data/audios\6812671097239096582,"Mr. Trump, do you have a quick word for 2 million young people on YouTube? We're millennials. Ready? Young people, I love you.",en
../data/audios\6813347214878969093,"It may get bigger, it may get a little bigger, it may not get bigger at all. We'll see what happens. But regardless of what happens, we're",en
../data/audios\6813773807589920006,"Can a thief who gets hurt on your property while trying to steal from you sue and win? Yes! In Katko v. Bernie, a homeowner set a shotgun booby trap to stop would-be burglars from stealing from an unoccupied property he owned. A thief got injured, sued and won. After the trial, the homeowner's biggest regret was that he should have set his shotgun to kill and not injure the thief.",en
../data/audios\6813855673550523653,"So, sorry to see Bernie Sanders dropping out of the race, you know, a month after he was relevant. But it's sad to see Bernie go, I thought maybe I'd drop a little music in to just sort of play him out, just play something he might enjoy, you know, like...",en
../data/audios\6815335694647577862,"It would put 720 million women back in the workforce. It would put 720 million women back in the workforce. Over two times the population of the country. Nobody should be in jail for a non-violent crime. What the fuck are you talking about? What's not to like about Vermont in terms of the beauty of it? And what a neat town. What's not to like about Vermont while he's campaigning in New Hampshire? Play the radio, make sure the television, excuse me, make sure you have the record player What? You don't listen to the news on the goddamn record player Joe Biden. Poor kids are just as bright and just as talented as white kids. How is this person's political campaign alive? All men and women created by the goal, you know the thing. You know the thing!",en
../data/audios\6815588259243052293,"Hey, hey, you want something to drink sure we got our stimulus checks Trump panaday",en
../data/audios\6815696445757246725,"Okay, so if you go to Amazon.com and you put slash a whole bunch of random letters and words You'll get a page that says sorry you couldn't find this page. Okay, but if you go to Donald Trump's website Okay, and you put slash and a whole bunch of random words or letters and You click enter it brings you a picture of Hillary Clinton standing at a podium That's president of the United States and saying sorry you're searching for something that doesn't exist You",en
../data/audios\6817134221451087110,"Okay, so first of all, before you post any more videos ever, actually read something other than Prager, You, Breitbart, or Fox News because everything you post is total BS. Second of all, do you realize that there are people who are not Christian in this country who also can't practice their faith? I'm Hindu, I can't go to the temple right now. I'm not complaining about First Amendment rights. You're so selfish and biased and inconsiderate and ignorant that you literally do not care about anybody else's religion. You just care about my Christian faith, my Christianity. What about Jews, Muslims, and Hindus who can't practice their faith right now? Are they complaining all the time? Second of all, there are democratic countries like Italy, Spain, and India who actually have police officers preventing people from going outside. Those people are not complaining the way you're complaining and our laws are way less restrictive than theirs are. Third of all, just don't play T-ball, don't play golf, stop being so selfish about your freedom for two months of your life. Just sit at home and wait for it to go away. There are over 600 people who are not Christian.",en
../data/audios\6818271063621913862,"Y'all wanna see a hypocrite? Here's a hypocrite for you. My body, my choice. Oh really? See these are the same people that will say some shit like this. But when it comes to the female reproductive system, they don't want nothing to do with your ass. And that is exactly why I will continue to talk shit about Trump supporters. And because of these people, this country won't open for another 6 to 12 months. Watch.",en
../data/audios\6819308319749065990,"What do you think I'm doing? No, no, no. Closing your purse? No. I'm not lying. Mommy, I'm sorry.",en
../data/audios\6820255288243801349,"Hashtag repeal the 19th. That's a reference to the 19th amendment, which gave women the right to vote. The hashtag seems to have been inspired by an article published on the site, telling that if the election only counted the male vote, Trump would beat out Clinton with 350 electoral votes to 188.",en
../data/audios\6820481322675408133,And it went like OHHHHH,en
../data/audios\6820854563667512582,I cannot understand for one second how anybody could make love to that man. What man? President Trump.,en
../data/audios\6821953353967308038,and look at what I can check yeah I can't even flex no give me my respect yeah thing got that neck,en
../data/audios\6822658225956015366,"So now Trump is blaming Obama for something that wasn't even around during his administration. But watch this. ...an infrastructure, not just here at home, but globally, that allows us to see it quickly, isolate it quickly, respond to it quickly. So that, like the Spanish flu crops up five years from now, or a decade from now, we've made the investment.",en
